stateut,region,alcintake2014,alcintake2016,overspeed2014,overspeed2016,overtaking2014,overtaking2016,lanejumping2014,lanejumping2016,wrongside2014,wrongside2016,signalavoid2014,signalavoid2016,asleep2014,asleep2016,othercause2014,othercause2016
Chhattisgarh,centre,335,145,6720,6660,188,467,313,175,266,410,10,62,81,144,520,953
Jharkhand,centre,611,543,1627,652,68,155,149,110,221,169,1,37,6,0,25,0
Madhya Pradesh,centre,3540,3083,20967,28017,1165,4091,1526,657,932,1300,87,413,86,681,4130,4589
Orissa,centre,637,1255,3699,4984,336,1194,286,188,519,565,114,75,161,80,326,1375
Telangana,centre,968,202,6266,13615,526,539,232,37,570,156,22,52,157,14,4065,1301
Mizoram,east,16,27,48,14,24,6,0,0,1,2,0,0,0,7,28,11
Tripura,east,12,5,499,413,0,56,7,0,29,15,1,0,0,0,0,28
West Bengal,east,0,462,3339,1473,257,122,179,53,205,93,106,90,49,22,1356,6915
Bihar,north,1680,593,1496,2323,278,573,236,156,308,458,7,8,72,122,439,612
Haryana,north,1095,529,4185,2344,206,1134,179,690,393,913,93,592,154,462,292,1210
Himachal Pradesh,north,74,72,2763,516,21,195,10,78,43,21,0,0,0,0,0,1392
Jammu & Kashmir,north,388,47,2859,2428,67,18,29,2,58,14,0,0,0,0,315,633
Punjab,north,442,317,2253,2517,60,585,211,194,127,512,17,180,34,17,153,498
Uttarakhand,north,508,40,94,736,15,132,69,0,99,105,7,0,0,0,72,70
Uttar Pradesh,north,1232,4633,2561,10184,392,3937,362,1123,763,2560,115,632,238,1121,1915,4093
Chandigarh,north,11,9,160,380,83,0,25,5,17,17,0,10,0,0,7,7
Delhi,north,51,164,,1696,0,211,0,129,0,131,0,229,0,0,0,2838
Arunachal Pradesh,northeast,11,15,16,45,0,8,0,11,0,7,0,0,0,8,22,18
Assam,northeast,613,352,4596,3520,129,371,104,156,156,334,7,64,3,3,628,873
Manipur,northeast,0,71,0,57,0,46,0,0,0,39,0,0,0,30,0,66
Meghalaya,northeast,25,35,40,146,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,northeast,91,13,51,11,0,0,0,0,26,0,0,0,0,0,70,0
Sikkim,northeast,8,12,28,45,0,17,0,0,0,20,0,0,0,0,51,0
Rajasthan,northwest,915,673,11395,13358,102,1345,1157,217,656,981,2,0,176,222,1803,5012
Andhra Pradesh,south,594,128,12747,17286,507,1024,328,325,668,667,29,40,154,306,1938,2868
Karnataka,south,2207,396,23370,31506,944,1019,455,292,877,900,99,228,145,40,4700,4955
Kerala,south,35,133,20611,34062,1217,2175,1178,121,1138,1254,92,406,1393,61,86,50
Tamil Nadu,south,1416,531,28804,47055,2171,7155,1869,2367,1529,3209,451,1004,161,671,6874,4866
Puducherry,south,73,82,250,1297,136,71,0,0,8,90,12,9,15,0,417,193
A & N Islands,southeast,25,27,94,124,7,15,20,0,11,31,0,2,0,0,0,39
Lakshadweep,southwest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,west,9,3,3148,3883,33,80,8,0,61,19,0,0,4,4,159,247
Gujarat,west,42,64,13752,13314,641,1016,370,662,394,733,51,261,95,156,283,904
Maharashtra,west,1251,226,29790,23643,1687,1883,897,765,796,1922,9,97,129,378,5537,3883
D & N Haveli,west,1,0,21,8,0,5,0,0,0,5,0,0,0,2,65,4
Daman & Diu,west,0,7,21,29,2,2,2,0,1,2,0,0,0,1,10,27
,,,,,,,,,,,,,,,,,
Total,,18916,14894,208271,268341,11262,29647,10201,8513,10872,17654,1332,4491,3313,4552,36286,50530
